optionId	menuId	type	name	url	position	section	perm	groupname
43	42	o	Print	tiki-print_pages.php	235	feature_wiki,feature_wiki_multiprint	tiki_p_view	
44	42	o	Send pages	tiki-send_objects.php	240	feature_wiki,feature_comm	tiki_p_view,tiki_p_send_pages	
45	42	o	Received pages	tiki-received_pages.php	245	feature_wiki,feature_comm	tiki_p_view,tiki_p_admin_received_pages	
46	42	o	Structures	tiki-admin_structures.php	250	feature_wiki	tiki_p_edit_structures	
47	42	s	Image Galleries	tiki-galleries.php	300	feature_galleries	tiki_p_view_image_gallery	
48	42	o	Galleries	tiki-galleries.php	305	feature_galleries	tiki_p_view_image_gallery	
49	42	o	Rankings	tiki-galleries_rankings.php	310	feature_galleries,feature_gal_rankings	tiki_p_view_image_gallery	
50	42	o	Upload image	tiki-upload_image.php	315	feature_galleries	tiki_p_upload_images	
51	42	o	Directory batch	tiki-batch_upload.php	318	feature_galleries,feature_gal_batch	tiki_p_batch_upload	
52	42	o	System gallery	tiki-list_gallery.php?galleryId=0	320	feature_galleries	tiki_p_admin_galleries	
53	42	s	Articles	tiki-view_articles.php	350	feature_articles	tiki_p_read_article	
54	42	o	Articles home	tiki-view_articles.php	355	feature_articles	tiki_p_read_article	
55	42	o	List articles	tiki-list_articles.php	360	feature_articles	tiki_p_read_article	
56	42	o	Rankings	tiki-cms_rankings.php	365	feature_articles,feature_cms_rankings	tiki_p_read_article	
57	42	o	Submit article	tiki-edit_submission.php	370	feature_articles,feature_submissions	tiki_p_read_article,tiki_p_submit_article	
58	42	o	View submissions	tiki-list_submissions.php	375	feature_articles,feature_submissions	tiki_p_read_article,tiki_p_submit_article	
59	42	o	View submissions	tiki-list_submissions.php	375	feature_articles,feature_submissions	tiki_p_read_article,tiki_p_approve_submission	
60	42	o	View submissions	tiki-list_submissions.php	375	feature_articles,feature_submissions	tiki_p_read_article,tiki_p_remove_submission	
61	42	o	Edit article	tiki-edit_article.php	380	feature_articles	tiki_p_read_article,tiki_p_edit_article	
62	42	o	Send articles	tiki-send_objects.php	385	feature_articles,feature_comm	tiki_p_read_article,tiki_p_send_articles	
63	42	o	Received articles	tiki-received_articles.php	385	feature_articles,feature_comm	tiki_p_read_article,tiki_p_admin_received_articles	
64	42	o	Admin topics	tiki-admin_topics.php	390	feature_articles	tiki_p_read_article,tiki_p_admin_cms	
65	42	o	Admin types	tiki-article_types.php	395	feature_articles	tiki_p_read_article,tiki_p_admin_cms	
66	42	s	Blogs	tiki-list_blogs.php	450	feature_blogs	tiki_p_read_blog	
67	42	o	List blogs	tiki-list_blogs.php	455	feature_blogs	tiki_p_read_blog	
68	42	o	Rankings	tiki-blog_rankings.php	460	feature_blogs,feature_blog_rankings	tiki_p_read_blog	
69	42	o	Create/Edit blog	tiki-edit_blog.php	465	feature_blogs	tiki_p_read_blog,tiki_p_create_blogs	
70	42	o	Post	tiki-blog_post.php	470	feature_blogs	tiki_p_read_blog,tiki_p_blog_post	
71	42	o	Admin posts	tiki-list_posts.php	475	feature_blogs	tiki_p_read_blog,tiki_p_blog_admin	
72	42	s	Forums	tiki-forums.php	500	feature_forums	tiki_p_forum_read	
73	42	o	List forums	tiki-forums.php	505	feature_forums	tiki_p_forum_read	
74	42	o	Rankings	tiki-forum_rankings.php	510	feature_forums,feature_forum_rankings	tiki_p_forum_read	
75	42	o	Admin forums	tiki-admin_forums.php	515	feature_forums	tiki_p_forum_read,tiki_p_admin_forum	
76	42	s	Directory	tiki-directory_browse.php	550	feature_directory	tiki_p_view_directory	
77	42	o	Submit a new link	tiki-directory_add_site.php	555	feature_directory	tiki_p_submit_link	
78	42	o	Browse directory	tiki-directory_browse.php	560	feature_directory	tiki_p_view_directory	
79	42	o	Admin directory	tiki-directory_admin.php	565	feature_directory	tiki_p_view_directory,tiki_p_admin_directory_cats	
80	42	o	Admin directory	tiki-directory_admin.php	565	feature_directory	tiki_p_view_directory,tiki_p_admin_directory_sites	
81	42	o	Admin directory	tiki-directory_admin.php	565	feature_directory	tiki_p_view_directory,tiki_p_validate_links	
82	42	s	File Galleries	tiki-file_galleries.php	600	feature_file_galleries	tiki_p_view_file_gallery	
83	42	o	List galleries	tiki-file_galleries.php	605	feature_file_galleries	tiki_p_view_file_gallery	
84	42	o	Rankings	tiki-file_galleries_rankings.php	610	feature_file_galleries,feature_file_galleries_rankings	tiki_p_view_file_gallery	
85	42	o	Upload file	tiki-upload_file.php	615	feature_file_galleries	tiki_p_view_file_gallery,tiki_p_upload_files	
86	42	s	FAQs	tiki-list_faqs.php	650	feature_faqs	tiki_p_view_faqs	
87	42	o	List FAQs	tiki-list_faqs.php	665	feature_faqs	tiki_p_view_faqs	
88	42	o	Admin FAQs	tiki-list_faqs.php	660	feature_faqs	tiki_p_admin_faqs	
89	42	s	Maps	tiki-map.phtml	700	feature_maps	tiki_p_map_view	
90	42	o	Mapfiles	tiki-map_edit.php	705	feature_maps	tiki_p_map_view	
91	42	o	Layer management	tiki-map_upload.php	710	feature_maps	tiki_p_map_edit	
92	42	s	Quizzes	tiki-list_quizzes.php	750	feature_quizzes		
93	42	o	List quizzes	tiki-list_quizzes.php	755	feature_quizzes		
94	42	o	Quiz stats	tiki-quiz_stats.php	760	feature_quizzes	tiki_p_view_quiz_stats	
95	42	o	Admin quiz	tiki-edit_quiz.php	765	feature_quizzes	tiki_p_admin_quizzes	
96	42	s	TikiSheet	tiki-sheets.php	780	feature_sheet		
97	42	s	Trackers	tiki-list_trackers.php	800	feature_trackers	tiki_p_view_trackers	
98	42	o	List trackers	tiki-list_trackers.php	805	feature_trackers	tiki_p_view_trackers	
99	42	o	Admin trackers	tiki-admin_trackers.php	810	feature_trackers	tiki_p_admin_trackers	
100	42	s	Surveys	tiki-list_surveys.php	850	feature_surveys		
101	42	o	List surveys	tiki-list_surveys.php	855	feature_surveys		
102	42	o	Stats	tiki-survey_stats.php	860	feature_surveys	tiki_p_view_survey_stats	
103	42	o	Admin surveys	tiki-admin_surveys.php	865	feature_surveys	tiki_p_admin_surveys	
104	42	s	Newsletters	tiki-newsletters.php	900	feature_newsletters	tiki_p_subscribe_newsletters	
105	42	s	Newsletters	tiki-newsletters.php	900	feature_newsletters	tiki_p_send_newsletters	
106	42	s	Newsletters	tiki-newsletters.php	900	feature_newsletters	tiki_p_admin_newsletters	
107	42	o	Send newsletters	tiki-send_newsletters.php	905	feature_newsletters	tiki_p_send_newsletters	
108	42	o	Admin newsletters	tiki-admin_newsletters.php	910	feature_newsletters	tiki_p_admin_newsletters	
109	42	s	Ephemerides	tiki-eph.php	950	feature_eph		
110	42	o	Admin ephemerides	tiki-eph_admin.php	955	feature_eph	tiki_p_eph_admin	
111	42	s	Charts	tiki-charts.php	1000	feature_charts		
112	42	o	Admin charts	tiki-admin_charts.php	1005	feature_charts	tiki_p_admin_charts	
113	42	r	Admin	tiki-admin.php	1050		tiki_p_admin	
114	42	r	Admin	tiki-admin.php	1050		tiki_p_admin_chat	
115	42	r	Admin	tiki-admin.php	1050		tiki_p_admin_categories	
116	42	r	Admin	tiki-admin.php	1050		tiki_p_admin_banners	
117	42	r	Admin	tiki-admin.php	1050		tiki_p_edit_templates	
118	42	r	Admin	tiki-admin.php	1050		tiki_p_edit_cookies	
119	42	r	Admin	tiki-admin.php	1050		tiki_p_admin_dynamic	
120	42	r	Admin	tiki-admin.php	1050		tiki_p_admin_mailin	
121	42	r	Admin	tiki-admin.php	1050		tiki_p_edit_content_templates	
122	42	r	Admin	tiki-admin.php	1050		tiki_p_edit_html_pages	
123	42	r	Admin	tiki-admin.php	1050		tiki_p_view_referer_stats	
124	42	r	Admin	tiki-admin.php	1050		tiki_p_admin_drawings	
125	42	r	Admin	tiki-admin.php	1050		tiki_p_admin_shoutbox	
126	42	r	Admin	tiki-admin.php	1050		tiki_p_live_support_admin	
127	42	r	Admin	tiki-admin.php	1050		user_is_operator	
128	42	r	Admin	tiki-admin.php	1050	feature_integrator	tiki_p_admin_integrator	
129	42	o	Admin home	tiki-admin.php	1051		tiki_p_admin	
130	42	o	Live support	tiki-live_support_admin.php	1055	feature_live_support	tiki_p_live_support_admin	
131	42	o	Live support	tiki-live_support_admin.php	1055	feature_live_support	user_is_operator	
132	42	o	Banning	tiki-admin_banning.php	1060	feature_banning	tiki_p_admin_banning	
133	42	o	Calendar	tiki-admin_calendars.php	1065	feature_calendar	tiki_p_admin_calendar	
134	42	o	Users	tiki-adminusers.php	1070		tiki_p_admin_users	
135	42	o	Groups	tiki-admingroups.php	1075		tiki_p_admin	
136	42	o	Cache	tiki-list_cache.php	1080		tiki_p_admin	
137	42	o	Modules	tiki-admin_modules.php	1085		tiki_p_admin	
138	42	o	Links	tiki-admin_links.php	1090	feature_featuredLinks	tiki_p_admin	
139	42	o	Hotwords	tiki-admin_hotwords.php	1095	feature_hotwords	tiki_p_admin	
140	42	o	RSS modules	tiki-admin_rssmodules.php	1100		tiki_p_admin	
141	42	o	Menus	tiki-admin_menus.php	1105		tiki_p_admin	
142	42	o	Polls	tiki-admin_polls.php	1110	feature_polls	tiki_p_admin	
143	42	o	Backups	tiki-backup.php	1115		tiki_p_admin	
144	42	o	Mail notifications	tiki-admin_notifications.php	1120		tiki_p_admin	
145	42	o	Search stats	tiki-search_stats.php	1125	feature_search	tiki_p_admin	
146	42	o	Theme control	tiki-theme_control.php	1130	feature_theme_control	tiki_p_admin	
147	42	o	QuickTags	tiki-admin_quicktags.php	1135		tiki_p_admin	
148	42	o	Chat	tiki-admin_chat.php	1140	feature_chat	tiki_p_admin_chat	
149	42	o	Categories	tiki-admin_categories.php	1145	feature_categories	tiki_p_admin_categories	
150	42	o	Banners	tiki-list_banners.php	1150	feature_banners	tiki_p_admin_banners	
151	42	o	Edit templates	tiki-edit_templates.php	1155	feature_edit_templates	tiki_p_edit_templates	
152	42	o	Drawings	tiki-admin_drawings.php	1160	feature_drawings	tiki_p_admin_drawings	
153	42	o	Dynamic content	tiki-list_contents.php	1165	feature_dynamic_content	tiki_p_admin_dynamic	
154	42	o	Cookies	tiki-admin_cookies.php	1170		tiki_p_edit_cookies	
155	42	o	Mail-in	tiki-admin_mailin.php	1175	feature_mailin	tiki_p_admin_mailin	
156	42	o	Content templates	tiki-admin_content_templates.php	1180		tiki_p_edit_content_templates	
157	42	o	HTML pages	tiki-admin_html_pages.php	1185	feature_html_pages	tiki_p_edit_html_pages	
158	42	o	Shoutbox	tiki-shoutbox.php	1190	feature_shoutbox	tiki_p_admin_shoutbox	
159	42	o	Shoutbox Words	tiki-admin_shoutbox_words.php	1191	feature_shoutbox	tiki_p_admin_shoutbox	
160	42	o	Referer stats	tiki-referer_stats.php	1195	feature_referer_stats	tiki_p_view_referer_stats	
161	42	o	Edit languages	tiki-edit_languages.php	1200		tiki_p_edit_languages,lang_use_db	
162	42	o	Integrator	tiki-admin_integrator.php	1205	feature_integrator	tiki_p_admin_integrator	
163	42	o	phpinfo	tiki-phpinfo.php	1215		tiki_p_admin	
164	42	o	DSN	tiki-admin_dsn.php	1220		tiki_p_admin	
165	42	o	External wikis	tiki-admin_external_wikis.php	1225		tiki_p_admin	
166	42	o	System Admin	tiki-admin_system.php	1230		tiki_p_admin	
167	42	o	Score	tiki-admin_score.php	1235	feature_score	tiki_p_admin	
168	42	o	Admin mods	tiki-mods.php	1240		tiki_p_admin	
169	42	o	Tiki Logs	tiki-syslog.php	1245		tiki_p_admin	
170	42	o	Security Admin	tiki-admin_security.php	1250		tiki_p_admin	
